Document ID,Complex,Simple
6,Neem dan contact op je leidinggevende of direct met de Servicedesk ICT Weesp om een Weesp account aan te vragen.,Vraag een Weesp-account aan. Dat doe je via je leidinggevende of direct via de Servicedesk ICT Weesp.
6,Nadat er een account is aangemaakt wordt van je verwacht dat je een Decos JOIN training volgt in Weesp.,Nadat er een account is aangemaakt moet je een Decos JOIN training volgen in Weesp.
6,Hiervoor ontvang je automatisch een uitnodiging via je Weesp mail.,Je krijgt daar automatisch een uitnodiging voor via je Weesp mail.
6,Je werkt in een applicatie van de gemeente Amsterdam waarin er geen optie is om duidelijk aan te geven dat de zaak door Weesp moet worden behandeld.,Je werkt in een applicatie van de gemeente Amsterdam waarin je niet duidelijk kunt aangeven dat Weesp de zaak moet behandelen.
6,Ja ga naar scenario 3b.,Ga naar scenario 2b.
6,Nee stuur een mail naar met de vraag om een registratie aan te maken voor de zaak.,Stuur een mail naar met de vraag om een registratie aan te maken voor de zaak.
6,Stuur in deze mail de aanvraag en andere stukken van de zaak mee zodat de afdeling IB/Postzaken alle informatie heeft voor het aanmaken van een zaak.,Stuur in deze mail de aanvraag en andere stukken van de zaak mee. Daarmee heeft de afdeling IB/Postzaken alle informatie voor het aanmaken van een zaak.
6,Geef in deze mail ook aan dat je een documentnummer nodig hebt voor een uitgaande brief.,Zet in deze mail ook dat je een documentnummer nodig hebt voor een uitgaande brief.
6,"Bijvoorbeeld: afwijzingsbrief, beantwoording klacht, verzoek aanvullende gegevens, voorlopige toekenning etc.","Bijvoorbeeld: afwijzingsbrief, beantwoording klacht, verzoek aanvullende gegevens, voorlopige toekenning, enzovoort."
6,Scan de brief met de datum van verzending erop vermeld en stuur deze naar .,Op de tweede brief zet je de datum van verzending. Die brief scan je en stuur je naar .
6,"Het is dus van belang dat je de brief die je verstuurt tweemaal print, één om te versturen naar de burger en één voor het opsturen naar Weesp.",Daarom print je de brief dus twee keer: één om te versturen naar de burger en één voor het scannen en opsturen naar Weesp.
6,Je werkt in een applicatie van de gemeente Amsterdam en je wilt een uitgaande brief versturen voor de Gemeente Weesp.,Je werkt in een applicatie van de gemeente Amsterdam en je wilt een uitgaande brief versturen namens de gemeente Weesp.
6,Als de zaak een zaaknummer heeft moet er nog een documentnummer worden aangevraagd.,De zaak heeft al een zaaknummer. Je moet nu nog een documentnummer aanvragen.
6,"Stuur een mail naar , benoem hierin het zaaknummer en wat voor soort uitgaande brief wordt verstuurd.",Stuur een mail naar . Daarin geef je het zaaknummer aan en om welke soort uitgaande brief het gaat.
6,De Afdeling IB/Postzaken in Weesp zal dan een document in de zaak aanmaken en het documentnummer mailen.,De Afdeling IB/Postzaken in Weesp maakt dan een document in de zaak aan en mailt je het documentnummer.
6,Vervolgens moet dit documentnummer met het zaaknummer in de brief worden vernoemd.,Je zet daarna dit documentnummer met het zaaknummer in de brief.
6,De brief moet in dezelfde stijl worden opgemaakt.,De brief maak je in dezelfde stijl op.
6,Voor het versturen van de brief moet deze worden geprint op Weesp briefpapier.,Voor het versturen van de brief print je deze op Weesp briefpapier.
6,"Het is dus van belang dat je de brief die je verstuurt tweemaal print, één om te versturen en één voor het opsturen naar Weesp.",Daarom print je de brief dus twee keer: één om te versturen naar de burger en één voor het scannen en opsturen naar Weesp.
6,Je werkt in Amsterdam in een applicatie wat zo ingericht is dat zaken die je behandeld voor Weesp kunnen worden geregistreerd op een kenmerk waaruit blijkt dat de zaak van Gemeente Weesp is.,Je werkt in Amsterdam in een applicatie die waarin je zaken die je voor Weesp behandelt kunt registreren op een kenmerk waaruit blijkt dat de zaak van gemeente Weesp is.
6,"In dit geval hoef je alleen rekening houden met de opmaak van je brief, deze moet gelijk zijn aan de huisstijl van Weesp (met uitzondering van WPI en Belastingen).",Dan houd je alleen rekening met de opmaak van je brief volgens de huisstijl van Weesp.
6,Het enige verschil in dit geval is dat je het zaak en document nummer uit het Amsterdamse systeem moet aanhouden.,Het verschil is in dit geval is dat je het zaaknummer en documentnummer uit het Amsterdamse systeem moet aanhouden.
6,Als je nog vragen hebt neem dan contact op met IB/Postzaken tel.,Als je nog vragen hebt neem dan contact op met IB/Postzaken via.
7,In deze brief informeren wij u over regelingen die gaan gelden als u langer dan zes weken arbeidsongeschikt bent.,Er gaan andere regelingen gelden als u langer dan 6 weken arbeidsongeschikt bent.
7,Bent u weer volledig aan het werk?,Bent u weer voor een deel aan het werk?
7,Mogelijke veranderingen na zes weken,Mogelijke veranderingen na 6 weken
7,Na 6 weken volledig aaneengesloten verzuim hebt u daar geen recht meer op.,Na 6 weken volledig aaneengesloten verzuim vervalt uw recht op deze vergoeding.
7,Gaat u weer (gedeeltelijk) aan het werk dan hebt u weer recht op de vergoeding.,U hebt u weer recht op de vergoeding als u weer gaat werken.
7,"Als u weer (gedeeltelijk) begint met werken op de 1e van de maand, dan start de vergoeding woon-werkverkeer weer op de 1e van diezelfde maand.",Begint u weer op de 1e van de maand met werken? Dan start de vergoeding woon-werkverkeer ook op de 1e van diezelfde maand.
7,"Is het na de 15e van de maand, dan start de vergoeding op de 1e van de daaropvolgende maand.","Begint u na de 15e van de maand, dan start de vergoeding op de 1e van de daaropvolgende maand."
7,Het kan zijn dat de verrekening een maand later gebeurt.,Het kan dat de verrekening een maand later gebeurt.
7,U hebt weer recht op deze vergoeding als u volledig aan het werk bent.,U hebt weer recht op deze vergoeding als u weer volledig werkt.
7,Dan kunt u over de dagen dat u werkt belastingvoordeel reiskosten woon-werkverkeer declareren via MijnP&O.,"Als u weer gedeeltelijk gaat werken, kunt u over de dagen dat u werkt belastingvoordeel reiskosten woon-werkverkeer declareren via MijnP&O."
7,Dan kan het zijn dat u tijdens uw arbeidsongeschiktheid reiskosten maakt in verband met uw re-integratie.,"Als u langer dan 6 weken volledig arbeidsongeschikt bent, maakt u misschien reiskosten tijdens uw arbeidsongeschiktheid vanwege uw re-integratie."
7,Dan stopt de opbouw na 12 weken arbeidsongeschiktheid tot u weer 100% arbeidsgeschikt bent.,"Als u spaaruren opbouwt, stopt de opbouw na 12 weken arbeidsongeschiktheid tot u weer 100% arbeidsgeschikt bent."
7,Zijn de opbouw en de opname van spaaruren ingeroosterd?,"Als opbouw en opname van spaaruren ingeroosterd staan, gaat de opbouw gewoon door."
7,Loondoorbetaling bij arbeidsongeschiktheid wordt berekend over het salaris en de salaristoelagen.,Loondoorbetaling bij arbeidsongeschiktheid berekenen we over het salaris en de salaristoelagen.
7,Zodra uw loonbetaling gaat wijzigen wordt u hierover nader geïnformeerd.,Wij zullen u verder informeren zodra uw loonbetaling gaat veranderen.
7,Het Verzuim protocol kunt u vinden op het intranet.,Het Verzuimprotocol kunt u vinden op het intranet.
7,Na twee jaar volledige arbeidsongeschiktheid kunt u meestal een (gedeeltelijke) WIA-uitkering krijgen.,Na 2 jaar volledige arbeidsongeschiktheid kunt u meestal een (gedeeltelijke) WIA-uitkering krijgen.
7,Meer informatie over de Wet Verbetering Poortwachter vindt u op Intranet en UWV.nl.,Meer informatie over de Wet Verbetering Poortwachter vindt u op intranet en UWV.nl.
8,Dat komt omdat we pas achteraf kunnen constateren wat er in die maand gebeurd is.,Dat komt omdat we pas achteraf kunnen vaststellen wat er in die maand gebeurd is.
8,"Bijvoorbeeld: u bent 7 maanden ziek, vanaf 1 januari tot 1 augustus.","Bijvoorbeeld: u bent 7 maanden ziek, vanaf 1 januari tot en met 31 juli."
9,"Uw leidinggevende heeft aangegeven dat u op grond van artikel 7.1, lid 7 PGA bij uw langdurige verzuim uw volledige salaris en salaristoelagen blijft houden.",Uw leidinggevende gaf aan dat u bij uw langdurige verzuim uw volledige salaris en salaristoelagen blijft houden.
9,Dit wijkt af van de normale regels bij langdurig ziekteverzuim.,Dit is anders dan bij de normale regels voor langdurig ziekteverzuim.
9,Op uw volgende salarisstroken ziet u geen korting ziekte-uren.,Op uw volgende salarisstroken ziet u geen korting vanwege ziekte-uren.
10,"Uw leidinggevende heeft aangegeven dat u arbeidsongeschiktheid is veroorzaakt is door een bedrijfsongeval als omschreven in artikel 7.1,lid 4 PGA.","Uw leidinggevende gaf aan dat u arbeidsongeschikt raakte door een bedrijfsongeval zoals in artikel 7.1,lid 4 PGA staat."
10,Zolang u in dienst blijft en uw arbeidsongeschiktheid voortduurt blijft recht hebben op een volledige salaris en salaristoelagen.,Dit zolang u in dienst blijft en u arbeidsongeschikt blijft.
11,Meld u dan snel aan voor de zonnepanelen inkoopactie in Noord.,Afgelopen november ontving u van ons een brief over de zonnepanelen inkoopactie in Noord via het Regionaal Energieloket.
11,Met zonnepanelen op uw dak wekt u uw eigen duurzame energie op en bespaart u gemiddeld tussen de 300 en 600 euro per jaar op uw energierekening.,"Met zonnepanelen op uw dak wekt u uw eigen duurzame energie op. U bespaart daarmee gemiddeld tussen de € 300,- en € 600,- per jaar op uw energierekening."
11,Ook kunt u als particulier BTW aftrekken van de belasting.,Ook kunt u BTW aftrekken van de belasting.
11,Dat betekent dat u 21% van uw totale investering terugkrijgt.,Zo krijgt u 21 procent van uw totale investering terug.
11,Zonnepanelen hebben een levensduur van ongeveer 25 jaar en verdienen zich binnen 7 tot 9 jaar terug.,Zonnepanelen hebben een levensduur van ongeveer 25 jaar. Zij verdienen zich binnen 7 tot 9 jaar terug.
11,De jaren daarna wekt u helemaal gratis elektriciteit op.,U wekt dus de 16 tot 18 jaar daarna helemaal gratis uw eigen elektriciteit op.
11,Bekijk hier alle voordelen van deze actie op een rij:,Bekijk hier alle voordelen van deze actie nog eens:
11,"Voordelige prijs: doordat de gemeente in één keer veel zonnepanelen inkoopt, daalt de prijs.",Voordelige prijs: de prijs daalt doordat wij in 1 keer veel zonnepanelen inkopen.
11,Betrouwbaar: als onafhankelijke partij heeft het Regionaal Energieloket een betrouwbare installateur geselecteerd.,Betrouwbaar: als onafhankelijke partij selecteerde het Regionaal Energieloket een betrouwbare installateur.
11,"Goede kwaliteit: de gemeente stelt hoge kwaliteitseisen aan de zonnepanelen, installatie en service van de installateur.","Goede kwaliteit: wij stellen hoge kwaliteitseisen aan de zonnepanelen, installatie en service van de installateur."
11,U bent verzekerd van goede garantievoorwaarden.,Garantie: U bent verzekerd van goede garantievoorwaarden.
11,Wilt u graag meedoen met deze actie en heeft u het geld hiervoor niet direct beschikbaar?,Misschien wilt u graag meedoen maar hebt u het geld hiervoor niet meteen beschikbaar.
11,Dan kunt u gebruik maken van de energielening van de gemeente.,Dan kunt u onze energielening aanvragen.
11,"Deze lening heeft een vaste, lage rente van 1,06% en een looptijd van 10 jaar.","Deze lening heeft een vaste, lage rente van 1,06 procent en een looptijd van 10 jaar."
11,Op basis van deze offerte beslist u definitief of u gebruik wilt maken van het aanbod.,"Pas nadat u deze offerte hebt ontvangen, beslist u of u dit aanbod aangaat."
11,"Bent u huurder, neem dan contact op met de verhuurder van uw woning om te vragen wat de mogelijkheden zijn voor het plaatsen van zonnepanelen.",Neem dan contact op met de verhuurder van uw woning en vraag naar de mogelijkheden voor het plaatsen van zonnepanelen.
11,Als u eigenaar bent van een woning met een beschermd stadsgezicht kunt u helaas nog niet meedoen aan deze actie.,Eigenaren van een woning met een beschermd stadsgezicht kunnen helaas nog niet meedoen aan deze actie.
11,"Heeft u nog vragen over deze inkoopactie, neem dan contact op met het Regionaal Energieloket via of [NUMBER].",Mail of bel dan het Regionaal Energieloket via of [NUMBER].
12,Op 24 juni 2021 was er een digitale bewonersbijeenkomst over het Zijkanaal I. Vooraf en tijdens de bijeenkomst zijn er veel vragen gesteld.,Op 24 juni 2021 was er een digitale bewonersbijeenkomst over het Zijkanaal I. Vooraf en tijdens de bijeenkomst waren er veel vragen.
12,We zitten nu in een verkennende fase en daardoor is niet overal een antwoord op te geven op dit moment.,We zitten nu in een onderzoeksfase en daardoor kunnen we nu nog niet overal een antwoord op geven.
12,"Heeft u nog meer vragen, aarzel dan niet om contact op te nemen met onze omgevingsmanager Janneke … via …",Aarzel dan niet om contact op te nemen met onze omgevingsmanager Janneke … via …
12,Wie heeft het idee gelanceerd om een Verbetering aan de ligplaatsen te inventariseren?,Van wie kwam het idee om verbetering aan de ligplaatsen te inventariseren?
12,"Antwoord: De aanleiding van dit project komt vanuit de vraag van de woonbootbewoners een aantal jaar geleden, om onderhoud aan de oevers te plegen en scheefliggende woonboten aan te pakken.","De aanleiding van dit project komt vanuit de vraag van de woonbootbewoners, een aantal jaar geleden. Zij vroegen ons om onderhoud aan de oevers en om scheefliggende woonboten aan te pakken."
12,Zijkanaal I is de eerste locatie waar we de mogelijkheden verkennen.,Zijkanaal I is de eerste plek waar we naar de mogelijkheden kijken.
12,"Antwoord: Het gaat om onderhoud aan , steigers, kades en oevers en baggeren .","Het gaat om onderhoud aan steigers, kades en oevers en om baggeren ."
12,Het onderhoud aan deze onderdelen zal een upgrade worden voor uw ligplaats.,Het onderhoud aan deze onderdelen is een verbetering voor uw ligplaats.
12,Antwoord: Het onderhoud is zeker noodzakelijk omdat er nu geen kademuren zijn maar zachte oevers waardoor de tuintjes kleiner worden en land verloren gaat.,"Het onderhoud is zeker noodzakelijk omdat er nu geen kademuren zijn, maar zachte oevers. Daardoor worden de tuintjes kleiner en gaat land verloren."
12,"De hele oever wordt dan in een keer aangepakt, omdat je dan voor een langere levensduur voor het gebied en de woonboten haven zorgt.",Daarmee zorgen we dan voor een langere levensduur voor het hele gebied en de woonbotenhaven.
12,"Antwoord: Dit is een eerste stap in een traject wat je samen in gaat, om te kijken of iets ook echt kan. We zitten nu nog in een verkennende fase, we staan aan het begin van een traject met elkaar.",Daarmee staan we aan het begin van een traject met elkaar.
12,Waarbij er nog heel veel vragen zijn waar we nu nog geen antwoorden op hebben.,Er zijn nog veel vragen waar we nu nog geen antwoorden op hebben.
12,De komende tijd moet hierop duidelijkheid bieden.,De komende tijd moet veel meer duidelijkheid bieden.
12,Alle verzamelde informatie wordt in een rapportage opgenomen.,Alle verzamelde informatie komt in een rapport.
12,Het rapport is belangrijk voor het college van B en W om een besluit te kunnen nemen over het vervolg van het project: een GO (voortgang uitvoering) of NOGO (stoppen).,Het rapport is belangrijk voor het college van B en W om een besluit te kunnen nemen over het vervolg van het project. Dat kan een ‘go’ (voortgang uitvoering) of ‘no go’ (stoppen) zijn.
12,De gemeente kan dit alleen in samenwerking met de bewoners doen.,We kunnen dit alleen samen met de bewoners doen.
12,Is er relatie met opknappen met Buiksloterham en het aanpakken van steigers en de omgeving van woonboten?,Is er relatie met opknappen van Buiksloterham en het aanpakken van steigers en de omgeving van woonboten?
12,Antwoord: er is geen directe relatie.,Er is geen directe relatie.
12,"Enerzijds is het aanpakken van de ligplaatsen, zoals wij het nu voor ogen hebben, niet kostenefficiënt om per ligplaats te doen.","Aan de ene kant is aanpakken van de ligplaatsen, zoals wij het willen, duur om per ligplaats te doen."
12,"Niet alleen budgettair, maar ook qua uitvoering binnen een acceptabel periode (waarin bijvoorbeeld de woonboten op een tijdelijke locatie moeten blijven).","Maar ook voor uitvoeren binnen een aanvaardbare periode, bijvoorbeeld waarin de woonboten op een tijdelijke locatie moeten blijven."
12,We denken dat een gebied met ruim 50 ligplaatsen wel kosten efficiënt kan worden opgeknapt.,We denken dat we een gebied met ruim 50 ligplaatsen wel kostenefficiënt kunnen opknappen.
12,We hebben daarom de begrenzing van deze proef gelijkgetrokken met de plangrens van de nieuwe wijk Klaprozenbuurt.,We trokken daarom de grens van deze proef gelijk met de plangrens van de nieuwe wijk Klaprozenbuurt.
12,In dit deel hebben wij ook de meeste klachten ontvangen.,Uit dit deel kregen wij ook de meeste klachten.
12,Binnen de gemeente is er hard gewerkt om het geld voor dit project rond te krijgen.,We hebben hard gewerkt om het geld voor dit project rond te krijgen.
12,In de bezuinigingen is dit budget niet gesneuveld.,In de bezuinigingen is dit budget gebleven.
12,Maar wel kunnen niet voorspellen wat er met dit budget gaat gebeuren als we er nu geen gebruik van maken.,Maar we weten niet wat er met dit budget gaat gebeuren als we het nu niet gebruiken.
12,"Naast de onzekerheid over wanneer dan de gemeente aan de slag weer kan gaan bij Zijkanaal I, zal er ook geen mogelijkheid meer zijn om mee te denken aan oplossingen, want die stap is al elders gemaakt.",Het is dan onzeker wanneer we weer aan de slag kunnen gaan bij Zijkanaal I. En is er dan ook geen mogelijkheid meer om mee te denken aan oplossingen binnen een proef.
12,Dat is wat er mee bedoeld wordt.,Dat is wat we er mee bedoelen.
12,Waarom is gekozen voor situatie langs zijkanaal i in combi met woonboten haven?,Waarom de keuze voor de situatie langs zijkanaal I in combinatie met woonboten haven?
12,Hier is situatie heel anders: breng daarom fasering aan in deelprojecten en gebieden.,Hier is de situatie heel anders: breng daarom stappen aan in deelprojecten en gebieden.
12,Maak knip in meerdere fases en meerdere deelgebieden (kade/kadedeel) Antwoord: Het uitgangspunt wat we hebben is om de gehele oever te vernieuwen.,Maak een knip in meerdere fases en meerdere deelgebieden (kade/kadedeel)
12,De steigers zelf met de haven zou je als apart kunnen uitvoeren van de woonboten langs de oever.,Het werk aan de steigers zelf met de haven kan je inderdaad apart uitvoeren van het werk bij de woonboten langs de oever.
12,Hoe wij daar dan met elkaar als gemeente en bewoners mee omgaan zullen we in de individuele gesprekken bedenken.,Hoe wij daar dan met elkaar mee omgaan bespreken we ook tijdens de individuele gesprekken.
12,"Grootste kans is dat de aannemer het als volgt zal aanpakken, watergang per watergang, waarbij een rij woonboten weg gaat en daarna de volgende.","Als we naar de uitvoering kijken is de grootste kans dat de aannemer het watergang per watergang aanpakt. Daarbij gaat dan een rij woonboten weg, en daarna de volgende."
12,Dit leidt tot zo min mogelijk overlast en zo kort mogelijk verblijf op tijdelijke locatie.,Dit geeft zo min mogelijk overlast en een zo kort mogelijk verblijf op de tijdelijke locatie.
12,Een paar jaar geleden is inderdaad door waternet een klein stukje van de waterweg op diepte gebracht voor een individuele woonboot.,Een paar jaar geleden bracht Waternet inderdaad een klein stukje van de waterweg op diepte voor een individuele woonboot.
12,Niet de hele haven en ook niet de gehele watergang waar deze woonboot in ligt is toen gebaggerd.,Er is toen niet in de hele watergang gebaggerd waar deze woonboot in ligt. En ook niet in de hele haven.
12,Er zal straks alleen worden gebaggerd tot waar het nodig is.,We baggeren straks alleen tot waar het nodig is.
12,Gedeeltes die al op diepte zijn worden niet gebaggerd.,Gedeeltes die al op diepte zijn baggeren we niet.
12,"Dit zal duidelijk worden met de resultaten van de onderzoeken, waaronder ook een diepte inmeting wordt uitgevoerd.",Omdat er dan ook een diepte-inmeting doen.
12,Vraag gemeente aan bewoners: Herkennen jullie dat onderhoud nodig is?,Vraag aan de bewoners: herkennen jullie dat onderhoud nodig is?
12,De mening dat er onderhoud nodig is wordt gedeeld door de bewoners.,"Ja, de bewoners delen de mening dat er onderhoud nodig is (ook in de chat)."
12,"(start/eind) Antwoord: De individuele gesprekken vinden plaats tot en met september/oktober, dan volgt er een verslag van alle gesprekken.",De individuele gesprekken zijn tot en met september of oktober 2021. Daarna volgt er een verslag van alle gesprekken.
12,Na een GO: in de loop van 2022 vindt de start van de voorbereiding van de werkzaamheden plaats.,"Als het project doorgaat, bereiden we in de loop van 2022 de werkzaamheden voor."
12,Waarbij een woonboot tijdelijk verplaatst wordt voor de duur van circa zes weken.,We denken dat iedere woonboot voor een paar maanden tijdelijk wordt verplaatst.
12,Harm had het over een GO/NOGO document.,Harm had het over een ‘go/no go’-document.
12,"Daar na is het voor mij niet helemaal duidelijk welke stappen er komen, inspraak van bewoners richting GO/NOGO document.","Daar na is het voor mij niet helemaal duidelijk welke stappen er komen, inspraak van bewoners richting ‘go/no go’-document ."
12,Antwoord: Het is geen geheim rapport.,Het is geen geheim rapport.
12,De samenvatting van de [X] individuele gesprekken wordt voor het college cruciaal om een beslissing te kunnen nemen.,De samenvatting van de [X] individuele gesprekken wordt voor het college doorslaggevend om een beslissing te kunnen nemen.
12,"Dus geef graag zoveel mogelijk input, dit is ook een oproep om mee te denken in de vorm van een klankbordgroep of klankbordoverleg, in welke vorm dan ook.","Dit is ook een oproep om mee te denken via een klankbordgroep of klankbordoverleg, in welke vorm dan ook."
