In 2018 zijn er 419 personen in detentie voorgelicht middels een groepsvoorlichting.	middels	met	door	via				
De maandelijkse budgetgesprekken en de maandrapportage worden de komende periode verder geoptimaliseerd met extra aandacht voor de prognoses.	geoptimaliseerd	aangepast	aangevuld	uitgebreid	verbeterd	uitgewerkt		
Het westelijk deel bestaat uit een viertal zelfstandige kantoorvilla’s van twee tot vier lagen.	viertal	paar	vier	aantal				
De noodzaak om kwalitatief hoogwaardig groen toe te voegen in het gebied is evident.	evident	hoog	vanzelfsprekend	duidelijk				
Op het gebied van preventie doet de gemeente veel en heeft de inspanning onlangs nog verder geïntensiveerd.	onlangs	laatst	recent	kortgeleden	recentelijk			
Om de vraag naar ligplaatsen en verdeling over de locaties te coördineren stelt de gemeente een ligplaatscoördinator aan.	coördineren	begeleiden	samenvoegen	organiseren				
Tijdens het besluitvormingsproces wordt, afhankelijk van de omvang/complexiteit en risico’s, vroegtijdig en frequent afgestemd met:	vroegtijdig	snel	vroeg	eerder	tijdig			
Hetzelfde geldt voor het delen van huisvesting met ketenpartners en een decentraal aanbod.	decentraal	specifiek	plaatselijk					
Ligplaatsvergunningen in openbaar water worden voor bepaalde tijd uitgegeven in een objectief en transparant uitgifteproces;	transparant	open	doorzichtig	duidelijk	eerlijk			
Binnen het transport over water zijn de volgende activiteiten te onderscheiden:	onderscheiden	herkennen	zien	noemen	benoemen			
Op basis hiervan is destijds een koers ingezet binnen het leer- en ontwikkelaanbod.	destijds	toentertijd	er	toen				
De nieuwe woonwijk beslaat een oppervlakte van circa 4,5 hectare.	circa	ongeveer						
Daarvoor zal de Verordening op het binnenwater 2019 moeten worden aangepast.	Verordening	wetgeving	wet					
De plaatsing van bomen heeft eveneens een positief effect op het windklimaat.	eveneens	verder	weer	ook				
De operationele regie blijft daarbij bij de stadsdelen, gefaciliteerd en ondersteund vanuit het AcVZ.	gefaciliteerd	georganiseerd	geregeld	ondersteund				
Zo nodig wordt het onderwerp geagendeerd in de overlegvergadering tussen GS en OR.	geagendeerd	besproken	meegenomen	behandeld				
De nieuwe functie van de procesmanager leges en begroting heeft hieraan ook bijgedragen.	leges	vergoedingen						
De aanlevering van de mutaties gebeurt via het reorganisatieprojectteam en de regiefunctionaris.	mutaties	aanpassingen	veranderingen					
Dit laat niet onverlet dat ook op gebouwniveau maatregelen moeten worden genomen om oververhitting te voorkomen.	onverlet	los						
Wonen hoofdzakelijk bovenverdiepingen, niet-wonen op begane grond.	hoofdzakelijk	grotendeels	vooral	voornamelijk				
Illegaal passagiersvervoer dusdanig bestrijden dat legale exploitanten niet worden benadeeld in hun bedrijfsvoering.	dusdanig	zodanig	zo					
(Alleen starten bij aanvang blok)	aanvang	begin	start					
locaties waar opslag op de wal noodzakelijk is zullen uitsluitend voor goederenvervoer worden aangewezen;	noodzakelijk	vereist	nodig					
Als er lokaal geen toepassingsmogelijkheden zijn voor deze materialen dan kunnen de materialen ook elders opnieuw gebruikt worden.	elders	ergens						
Welke mogelijkheden voor jouw (persoonlijke) ontwikkeling zie jij in relatie tot jouw functie en het werk?	relatie	betrekking	verband	verhouding				
Wel zal Ravel op een aantal essentiële punten hiervan verschillen.	essentiële	beslissende	belangrijke					
Het proces van bewustwording moet er uiteindelijk toe leiden dat de intentie ontstaat om de schulden op te lossen.	intentie	wens	wil	bedoeling				
Daarnaast wordt het vakmanschap versterkt dat nodig is om als professional te kunnen opereren, ongeacht waar je werkt.	ongeacht	onafhankelijk	los					
Dit is een mogelijke indicatie dat VEOA bij jongeren meer oplevert.	indicatie	aanwijzing	verklaring					
Maar tegelijkertijd ook durven doorpakken en snelheid maken als dat nodig is.	doorpakken	beslissen	vasthouden	doorgaan	doorwerken			
De gemeente acht dit soort afspraken niet meer van deze tijd.	acht	vindt	erkent					
Dit onderdeel van het programma is qua werkwijze en overlegstructuur ondergebracht bij het AcVZ.	qua	volgens	met	voor	in			
In Ravel wordt gestreefd naar een norm van 0,15 voor woongebouwen, conform de standaard bouwenvelop Zuidas.	conform	volgens	zoals					
Ook kwamen een tweetal schoolklassen van basisschool	tweetal	paar	aantal	twee				
We gaan enerzijds verder met het vertalen van bestaande leerinterventies naar de doelgroep.	enerzijds	ook						
Na zes weken informeren en waarschuwen is Waternet in juli 2019 met de daadwerkelijke handhaving begonnen.	daadwerkelijke	officiële	echte					
Vanaf 2025 moeten immers alle pleziervaartuigen in Amsterdam uitstootvrij varen.	immers	toch	namelijk					
Bevindingen uit het onderzoek zijn allereerst in het rapport opgenomen om de praktijk een impuls te geven.	impuls	steun	duwtje	stimulans	aanmoediging	kracht	signaal	
Zijn er consequenties voor de medewerkers en/of managers?	consequenties	gevolgen						
Het verstevigen van het beleidsvak door o.a. complexiteit uiteen te rafelen in heldere denkstappen en logische argumentatie.	complexiteit	moeilijkheid	moeilijkheden	ingewikkeldheid	ingewikeldheid	versimpelen		
In de beleidsregels is uitgewerkt dat de verdeling van de beschikbare exploitatievergunningen per segment (type passagiersvaartuigen) geschiedt.	geschiedt	gebeurt						
Dit gebeurt in de praktijk wel en de gemeente heeft dat tot op heden gedoogd.	heden	vandaag	nu					
In 2018 is het aanbod justitiële plekken mede hierdoor uitgebreid van 80 naar 100 plekken.	mede	deels	ook					
De grotere aanwezigheid van handhavers op het water en de communicatiecampagne hebben een preventieve werking op overlast gevend gedrag.	preventieve	voorkomende						
Dit komt omdat het vaak gaat om transformaties waar veel partijen bij zijn betrokken.	transformaties	projecten	veranderingen					
In het ontwerp van Ravel wordt voorts uitgegaan van een aantal aanvullingen op de gemeentelijke ‘Nota Parkeernormen'	voorts	steeds	ook					
Dit is lager dat het regulier jaarvignet en komt tegemoet aan de administratieve lasten van de gemeente.	regulier	huidige	bestaande	normale				
Amsterdam heeft hiertoe in 2012 het FSC convenant getekend.	convenant	document	verdrag					
Naast bovengenoemde benadering stond Kredietcrisis onder risicojongeren een ‘directe aanpak’ voor waarbij:	bovengenoemde	eerdere	deze	die				
De herontwikkeling van de Vondeltuin stond al tientallen jaren op de agenda.	tientallen	al	vele	meerdere				
U hebt voornoemde vraag op het Bibob-formulier niet naar waarheid beantwoord.	voornoemde	eerdere	deze					
Dit geeft urgentie, maar kan ook leiden tot vluchtgedrag.	urgentie	druk	haast	noodzaak	belang			
Controleren, informeren en sanctioneren	sanctioneren	bestraffen	straffen	beboeten	behandelen			
Vooralsnog is er dus geen reden om te onderzoeken of er aparte recreatiezones moeten worden ingericht.	Vooralsnog	daarom	nu					
Voor de taskforce gelden de volgende uitgangspunten:	taskforce	taakgroep	actiegroep	werkgroep				
